Mode,Result,Map,Characters and Trophies,Battle Time,Rank,Trophy Change
brawlBall,victory,Puck Palace,"Team 1: PEARL (Trophies: 524) - PlayerID: #9QVJG00P, MAX (Trophies: 1000) - PlayerID: #YGJCJVCR0; Team 2: DYNAMIKE (Trophies: 722) - PlayerID: #9YQGCCYU, MORTIS (Trophies: 813) - PlayerID: #8UU0P82U",20250109T165021.000Z,,0
brawlBall,victory,Puck Palace,"Team 1: COLT (Trophies: 620) - PlayerID: #LPULP8089, PEARL (Trophies: 524) - PlayerID: #9QVJG00P; Team 2: MOE (Trophies: 364) - PlayerID: #GCGRPV9VV, STU (Trophies: 1000) - PlayerID: #2YVUPRG9GV",20250109T164804.000Z,,0
gemGrab,victory,Deathcap Trap,"Team 1: SQUEAK (Trophies: 531) - PlayerID: #88VYGJGCC, COLT (Trophies: 535) - PlayerID: #2808RPVJQ0, PEARL (Trophies: 516) - PlayerID: #9QVJG00P; Team 2: COLT (Trophies: 563) - PlayerID: #2QRVV2QUC9, PAM (Trophies: 549) - PlayerID: #2RR9UUQL, LILY (Trophies: 552) - PlayerID: #RV98VYCPV",20241230T135316.000Z,,8
soloShowdown,victory,Skull Creek,BUZZ LIGHTYEAR (Trophies: 322) - PlayerID: #9QVJG00P; HANK (Trophies: 322) - PlayerID: #YJJYG229C; ROSA (Trophies: 322) - PlayerID: #RJ0L82LL0; BROCK (Trophies: 322) - PlayerID: #202LYPUY0L; 8-BIT (Trophies: 322) - PlayerID: #2LQ09JU0CG; PEARL (Trophies: 344) - PlayerID: #GRYURJ2PU; RICO (Trophies: 322) - PlayerID: #GJY99QQJ9; DYNAMIKE (Trophies: 323) - PlayerID: #LGRJ92089; DYNAMIKE (Trophies: 322) - PlayerID: #2QRLP0J982; SHADE (Trophies: 344) - PlayerID: #2L8VYUUQUJ,20241228T105112.000Z,,13
soloShowdown,victory,Dried Up River,BUZZ LIGHTYEAR (Trophies: 337) - PlayerID: #QYLUPRRP; BUZZ LIGHTYEAR (Trophies: 312) - PlayerID: #9QVJG00P; DOUG (Trophies: 337) - PlayerID: #CV8CL0JC; RICO (Trophies: 319) - PlayerID: #2Q2QGUYGL9; BUZZ LIGHTYEAR (Trophies: 337) - PlayerID: #2GYRYCCVLG; BUZZ LIGHTYEAR (Trophies: 337) - PlayerID: #L2UQGCLGP; PEARL (Trophies: 336) - PlayerID: #2P22CJ0P0Y; POCO (Trophies: 321) - PlayerID: #JR9JRY28Y; BUZZ LIGHTYEAR (Trophies: 316) - PlayerID: #PYP8PRJG2; NANI (Trophies: 338) - PlayerID: #LUPGRP0JP,20241221T150443.000Z,,10
soloShowdown,victory,Dried Up River,BUZZ LIGHTYEAR (Trophies: 334) - PlayerID: #P0YPPVJR; BO (Trophies: 330) - PlayerID: #L090R80LQ; BUZZ LIGHTYEAR (Trophies: 350) - PlayerID: #2QRVP99VJ9; BUZZ LIGHTYEAR (Trophies: 305) - PlayerID: #9QVJG00P; BUZZ LIGHTYEAR (Trophies: 310) - PlayerID: #2QJJ2VRU9V; BUZZ LIGHTYEAR (Trophies: 361) - PlayerID: #2QP00UYPCC; COLT (Trophies: 326) - PlayerID: #Y9JYU0LL8; KIT (Trophies: 337) - PlayerID: #2JLJ02LRG; FANG (Trophies: 343) - PlayerID: #RG222P0; MORTIS (Trophies: 355) - PlayerID: #L9CJR8R,20241221T010127.000Z,,7
soloShowdown,victory,Dried Up River,BUZZ LIGHTYEAR (Trophies: 295) - PlayerID: #9QVJG00P; COLETTE (Trophies: 305) - PlayerID: #22LC9Q20R9; HANK (Trophies: 313) - PlayerID: #9Q2RLU2CP; MORTIS (Trophies: 292) - PlayerID: #2Q9YUJQRYQ; ANGELO (Trophies: 296) - PlayerID: #2R29YUJ28; BONNIE (Trophies: 299) - PlayerID: #8CPCY0GGG; DARRYL (Trophies: 299) - PlayerID: #2LU9RYCVPP; DYNAMIKE (Trophies: 323) - PlayerID: #2QRYPQ2VVL; SHADE (Trophies: 303) - PlayerID: #2GRGC99Q9Q; 8-BIT (Trophies: 303) - PlayerID: #GLG89RCPV,20241221T005932.000Z,,10
soloShowdown,victory,Dried Up River,JUJU (Trophies: 302) - PlayerID: #8GR99PJQU; LEON (Trophies: 296) - PlayerID: #2YLQ8GLGC9; BUZZ (Trophies: 271) - PlayerID: #2QRCVVQUQP; GRAY (Trophies: 293) - PlayerID: #Q8202GQ8; BUZZ LIGHTYEAR (Trophies: 307) - PlayerID: #2LPRQCUUV; BUZZ LIGHTYEAR (Trophies: 293) - PlayerID: #9QVJG00P; SHADE (Trophies: 306) - PlayerID: #2GYRRJCUVR; BROCK (Trophies: 299) - PlayerID: #2L00GQRG0L; BUZZ (Trophies: 305) - PlayerID: #9P8YVP98C; LOLA (Trophies: 298) - PlayerID: #2G8LPYVYRV,20241221T005820.000Z,,2
soloShowdown,victory,Dried Up River,GUS (Trophies: 273) - PlayerID: #QRQYY2RC; SHELLY (Trophies: 280) - PlayerID: #8JYCCUJPY; BUZZ LIGHTYEAR (Trophies: 295) - PlayerID: #2L28CPJJQ2; LEON (Trophies: 272) - PlayerID: #2GPYLYJ8JR; BUZZ LIGHTYEAR (Trophies: 293) - PlayerID: #LQQYJUJR0; WILLOW (Trophies: 264) - PlayerID: #JP8GRGJCJ; BUZZ LIGHTYEAR (Trophies: 291) - PlayerID: #9QVJG00P; BYRON (Trophies: 254) - PlayerID: #GJ98UUG08; SHADE (Trophies: 270) - PlayerID: #2YVCGYL8C2; DRACO (Trophies: 271) - PlayerID: #L98LV08QJ,20241221T005745.000Z,,2
soloShowdown,victory,Cavern Churn,JACKY (Trophies: 287) - PlayerID: #YG2VY2PYC; GUS (Trophies: 287) - PlayerID: #2QJC0U8V98; BO (Trophies: 286) - PlayerID: #YGGLJ0G2C; BUZZ LIGHTYEAR (Trophies: 260) - PlayerID: #GGJGUCLPR; BUZZ LIGHTYEAR (Trophies: 287) - PlayerID: #9QVJG00P; BUZZ LIGHTYEAR (Trophies: 263) - PlayerID: #9RVUUG2RG; BUZZ LIGHTYEAR (Trophies: 279) - PlayerID: #2LQ2JGUUYQ; 8-BIT (Trophies: 287) - PlayerID: #2LGPVQYL2V; STU (Trophies: 286) - PlayerID: #2LC298GJ2V; BUZZ LIGHTYEAR (Trophies: 287) - PlayerID: #2QRJVRYYVR,20241218T182552.000Z,,4
soloShowdown,defeat,Cavern Churn,BUZZ LIGHTYEAR (Trophies: 288) - PlayerID: #GJQ8LLY28; CARL (Trophies: 270) - PlayerID: #2YV90U0V8J; BUZZ LIGHTYEAR (Trophies: 270) - PlayerID: #29JJ9GRR9; BUZZ LIGHTYEAR (Trophies: 270) - PlayerID: #2U80VPCR9; BUZZ LIGHTYEAR (Trophies: 270) - PlayerID: #PCU9G2QQQ; BUZZ LIGHTYEAR (Trophies: 269) - PlayerID: #2QG28C9G0R; JESSIE (Trophies: 269) - PlayerID: #LL22GPVJJ; MORTIS (Trophies: 269) - PlayerID: #LYPPJCC20; BUZZ LIGHTYEAR (Trophies: 270) - PlayerID: #80PR9U0Q0; BUZZ LIGHTYEAR (Trophies: 288) - PlayerID: #9QVJG00P,20241218T182541.000Z,,-1
soloShowdown,victory,Cavern Churn,BUZZ LIGHTYEAR (Trophies: 287) - PlayerID: #9LQVY9PG8; GUS (Trophies: 285) - PlayerID: #Q28J8Q2LL; SHELLY (Trophies: 287) - PlayerID: #28CUVR09Y8; RICO (Trophies: 295) - PlayerID: #2LUVUQQ8L2; SHELLY (Trophies: 293) - PlayerID: #Y8000Y9J; BARLEY (Trophies: 286) - PlayerID: #RJQGUQRC0; BUZZ LIGHTYEAR (Trophies: 286) - PlayerID: #9QVJG00P; TICK (Trophies: 296) - PlayerID: #2QU2LL8UJ0; POCO (Trophies: 285) - PlayerID: #JR9UY2LUP; BUZZ LIGHTYEAR (Trophies: 286) - PlayerID: #2Q282P8PGP,20241218T182438.000Z,,2
soloShowdown,victory,Cavern Churn,BUZZ LIGHTYEAR (Trophies: 275) - PlayerID: #9QVJG00P; MOE (Trophies: 293) - PlayerID: #PPG0CVCC8; BUZZ LIGHTYEAR (Trophies: 270) - PlayerID: #2QC92UCVYR; SANDY (Trophies: 268) - PlayerID: #PQP2JQ8C; BUZZ LIGHTYEAR (Trophies: 267) - PlayerID: #2GY8P0V8UU; BUZZ LIGHTYEAR (Trophies: 264) - PlayerID: #2GQUPRCQP9; STU (Trophies: 269) - PlayerID: #2289LQV0Y9; JACKY (Trophies: 267) - PlayerID: #2QLVJLRP9C; EL PRIMO (Trophies: 266) - PlayerID: #2LLJG228PQ; SHADE (Trophies: 268) - PlayerID: #28PCV89L28,20241218T182212.000Z,,11
soloShowdown,victory,Cavern Churn,BUZZ LIGHTYEAR (Trophies: 259) - PlayerID: #2UU2YLQ90; JUJU (Trophies: 276) - PlayerID: #RYLYLQVLY; BUZZ LIGHTYEAR (Trophies: 268) - PlayerID: #9QVJG00P; DARRYL (Trophies: 284) - PlayerID: #2G9UJGGGG2; BUZZ LIGHTYEAR (Trophies: 290) - PlayerID: #2QRVQLVQ8C; PEARL (Trophies: 270) - PlayerID: #9YYGGG02J; JUJU (Trophies: 271) - PlayerID: #8CLUJJUR8; SANDY (Trophies: 291) - PlayerID: #2L0JQRRGPU; EDGAR (Trophies: 270) - PlayerID: #2QG2QVGYPQ; STU (Trophies: 310) - PlayerID: #28QPRGP0PJ,20241218T182019.000Z,,7
soloShowdown,victory,Cavern Churn,BUZZ LIGHTYEAR (Trophies: 280) - PlayerID: #908JPPGRP; BUZZ LIGHTYEAR (Trophies: 281) - PlayerID: #P2GVRC9Q2; SHADE (Trophies: 265) - PlayerID: #2YRQVLYC2Y; BUZZ LIGHTYEAR (Trophies: 265) - PlayerID: #Y80CJ9CP9; RICO (Trophies: 267) - PlayerID: #2QCJYCURRY; BUZZ LIGHTYEAR (Trophies: 266) - PlayerID: #9QVJG00P; BUZZ LIGHTYEAR (Trophies: 280) - PlayerID: #RQ8C2CGYG; BUZZ LIGHTYEAR (Trophies: 265) - PlayerID: #2PRJ8PRG; BUZZ LIGHTYEAR (Trophies: 280) - PlayerID: #JV9V0U0VJ; BUZZ LIGHTYEAR (Trophies: 281) - PlayerID: #2Q088PRQVQ,20241218T181919.000Z,,2
